"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12611","Jared Goff","LAR","QB",26,4,"QB","weighted",270.539715500946,15,3.35628664812646,14.0802780986,254.76,291.008025454545,6,-5.31627179077617,124,-1.70666666666668,111,-16.2610787326658,165
"12616","Jacoby Brissett","IND","QB",28,4,"QB","weighted",38.579660994743,38,5.73466990422266,33.0200658143748,3.84,65.1161926605505,10,-237.276326296979,626,-252.626666666667,627,-242.152911526661,629
"12620","Dak Prescott","DAL","QB",27,4,"QB","weighted",331.798465774509,3,7.51773553263257,15.9720026825361,316.577175889289,356.247081818182,3,55.9424784827866,32,60.1105092226219,31,48.9779776309705,40
"12623","Jeff Driskel","DEN","QB",27,4,"QB","weighted",10.9605142857143,57,0.535022048271363,2.28831863232578,8.66,12.8509234828496,11,-264.895473006008,645,-247.806666666667,618,-294.418180704362,652
"12625","Ezekiel Elliott","DAL","RB",25,4,"RB","weighted",298.969791068639,3,23.4216059275573,39.5153686617594,274.9,361.952521887009,2,170.244351526776,3,164.583,3,206.855160987839,3
"12626","Derrick Henry","TEN","RB",26,4,"RB","weighted",267.339521060788,6,18.3434323563744,17.8579351123752,249.5,293.449598887664,3,138.614081518925,6,139.183,6,138.352237988494,9
"12629","Devontae Booker","LVR","RB",28,4,"RB","weighted",27.6915132275132,102,0.320251322751329,16.7462439251058,12.771,46.1909090909091,13,-101.03392631435,394,-97.546,376,-108.906451808261,396
"12630","Kenyan Drake","ARI","RB",26,4,"RB","weighted",235.293209011428,12,1.6057817064964,23.3563692928004,208.7,268.074410296848,4,106.567769469565,13,98.383,14,112.977049397679,16
"12632","Kenneth Dixon","FA","RB",26,4,"RB","weighted",26.283527607362,106,0.485614045513973,30.9500638125352,4.13,43.5760545454546,13,-102.441911934502,407,-106.187,442,-111.521306353715,406
"12634","Jordan Howard","MIA","RB",26,4,"RB","weighted",139.896278947454,33,9.97747949929675,24.9253347458594,110.8,173.363590909091,8,11.1708394055908,85,0.48299999999999,105,18.2662300099211,75
"12635","Jonathan Williams","FA","RB",26,4,"RB","weighted",2.215,145,0.415962249614792,NA,2.215,2.215,15,-126.510439541864,509,-108.102,464,-152.88236089917,529
"12636","Wendell Smallwood","FA","RB",26,4,"RB","weighted",15.4,120,0.628899845916795,NA,15.4,15.4,13,-113.325439541864,450,-94.917,363,-139.69736089917,480
"12637","Peyton Barber","WAS","RB",26,4,"RB","weighted",56.3360129259695,80,1.68888035007107,20.5261269036916,31.502,77.7480581039755,12,-72.3894266158942,310,-78.815,300,-77.3493027951943,321
