"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12157","Duke Johnson","HOU","RB",27,5,"RB","weighted",96.875569173135,43,5.5890907908815,13.9328720734244,76.655,111.968486238532,9,-17.9402918277324,175,-21.9916666666667,179,-25.300636308096,205
"12164","Mike Davis","CAR","RB",27,5,"RB","weighted",35.3182521865889,91,1.91056055234768,31.6627918657625,1.011,70.1229651162791,13,-79.4976088142785,383,-97.6356666666667,504,-67.1461574303491,329
"12171","David Johnson","HOU","RB",29,5,"RB","weighted",181.33514698427,18,5.40840422079029,16.7649886310061,164,205.270464003686,4,66.5192859834023,23,65.3533333333333,23,68.0013414570582,28
"12175","Amari Cooper","DAL","WR",26,5,"WR","weighted",160.181394887562,11,0.116439847468001,13.3384932386613,150.5,180.415181818182,5,33.5560845747051,46,43.9333333333333,37,38.5064075811496,45
"12176","DeVante Parker","MIA","WR",27,5,"WR","weighted",152.173698478671,19,0.581083161138707,18.8913272009361,134.3,179.060863636364,5,25.5483881658139,58,27.7333333333333,58,37.1520893993314,49
"12181","Nelson Agholor","LVR","WR",27,5,"WR","weighted",50.252306670218,103,0.545214325325865,37.4040744001563,21.2,97.0624848484848,15,-76.3730036426393,368,-85.3666666666667,420,-44.8462893885474,275
"12182","Devin Smith","FA","WR",28,5,"WR","weighted",18.391,142,0.343546733076323,NA,18.391,18.391,17,-108.234310312857,507,-88.1756666666667,440,-123.517774237032,508
"12184","Jamison Crowder","NYJ","WR",27,5,"WR","weighted",108.223886702948,48,0.698286071423851,11.3036431455281,94.26,120.445064596273,9,-18.4014236099089,176,-12.3066666666667,144,-21.4637096407589,192
"12186","Stefon Diggs","BUF","WR",27,5,"WR","weighted",143.751896786005,27,6.01946349640431,12.2731095050785,130,160.044772727273,6,17.1265864731479,72,23.4333333333333,67,18.1359984902405,76
"12187","Tyler Lockett","SEA","WR",28,5,"WR","weighted",151.111746589252,21,3.50597027071814,7.36670497409375,145.396,161.788291814947,5,24.4864362763946,60,38.8293333333334,44,19.8795175779144,72
"12188","Phillip Dorsett","SEA","WR",27,5,"WR","weighted",44.199492733508,111,0.793828821511717,1.12417536635563,43.2,45.3050596273292,15,-82.4258175793493,398,-63.3666666666667,294,-96.603714609703,423
"12197","Breshad Perriman","NYJ","WR",27,5,"WR","weighted",109.226298505551,46,0.753129325594301,17.6626083126669,82.3,128.448274021352,9,-17.3990118073062,171,-24.2666666666667,186,-13.4605002156799,158
"12206","Maxx Williams","ARI","TE",26,5,"TE","weighted",34.8411586368978,47,1.82909360436302,6.02787851167251,28.866,42.2604587155963,7,-59.5770321141081,301,-52.531,266,-68.4028602054474,334
"12207","Nick O'Leary","LVR","TE",28,5,"TE","weighted",16.2739726027397,80,0.213761779495044,8.06101730552664,10.6,20.8547706422018,8,-78.1442181482661,377,-70.797,326,-89.8085482788419,399
